hash,CS,FD,gamma_5,gamma_10,gamma_20,gamma_30,gamma_50
080c65e03d22029c4bf5b6519c38048731467ea38ada2f89ed678c9646573b26,4096,232,295421,676349,762365,688637,352765
084292aca3fff1b0a9ef7878499f89f447d91b774b8db13df3c49c13331cac39,4096,128,271334,750054,713702,724454,572390
085eaf7bb61020a80939c34b2bd58acec3fddc80de2c151428ec477eb63677de,4096,224,282624,765952,487424,765952,720896
08624ec0193f00d32af53e3a7f915c9c75b17a560e3afd2d3931423825d98d8d,4096,128,193024,739840,729088,713216,703488
086772fa58d2d27ddd7e65fa000544953f235fa9534f9f256a8f5d9f4a0d05f1,4096,240,287365,680581,622725,749701,676485
0882ec67a8a8f40aa9a0e8cf84960f610740d7565f49ebc995beebadc7e033ee,4096,184,262144,716800,765952,765952,757760
088708e571dbdbf5b4f3088227e9d54c444ffff7ca3f6752481faaf193921789,4096,256,292864,640512,685056,712704,639488
088922c3a2e30bec9e738725bb47242900a081de6f1adbf40a2139dafd8a14bc,4096,224,292864,750080,425472,709632,750080
0889e58ea3917d3b3c18f7a59f9fd75e7fba33367321c81895e89577d09b740a,4096,200,201728,691200,749568,740864,734720
088d60aa8cf3453c4c20400aae006efb7c538b36ab67abe6fcc0c9cae05fadec,4096,184,286720,471040,741376,761856,745472
088f4543a93246511f683682cdfc41f601d04133a313441b4f5a3db0165effc7,4096,128,117760,346624,221696,242176,182784
0890640d871db86ca84421ab33a407849642d59cff76d01f9d63399e0722716a,4096,128,282624,556032,561664,357888,684544
08a02f8b9305c96061518d35b5f9a917897a9cc61acfd1f0192b6d3545a80e01,4096,240,177797,662149,749701,654981,746629
08a365c7b8e16345771940796a16d312b4c5f381e2845aea1b79690c772d1b2d,4096,128,-1,-1,-1,-1,0
08c46c19de4a81049cf6d1cccf0a77813d36f68e41c4c969761c9138c59ec726,4096,176,252416,674816,645632,715776,636416
08cf4cc6d515ea735665aa6405ec54a385a21bc88bd0a745fa70d9f80107377e,4096,200,303104,724992,765952,745472,729088
08d2d0e4d05d185fcadf065717b3151eb9a0b4452165f514c716c78ce99ae0c6,-1,-1,292864,733184,752128,741376,-1
08d4114aa4a0b0a7fba4d6483184feb48f8c69e3036aab5a32e4502d9a957a09,4096,176,303104,765952,765952,745472,765952
08e5f72978c148bcff7208e3a7fe377ec6b3a3666596530fdee36a571773eae0,4096,64,294400,753664,429056,687616,724480
08ec0f31d7078d3702d4447c4e8881b850dd4762fa0723046c9c104c68ca7cce,4096,200,246784,749568,625664,749568,734208
0906c04f9ecaf6fc86acdd36be960cfd71d3a710fb96c81f3e3decf0f47f2f0b,4096,128,292864,745984,677888,625152,750592
091411b267dd2723911c328cbe03211ecf737926cab9adc82139e62033e06f23,4096,224,292864,650752,665088,662016,750080
0917a5f26caf717cadae85f9c28747e899a6c9c4b8137ad0ca7feeaeb2388884,-1,-1,115200,749568,649216,747520,749568
091d026de9657bf635c509834dbbbc1b0cb83a30f4bce398b2f4df64c8e92c35,4096,128,290304,710144,287232,340480,714240
091d4aefa672e5c12b6ff19b2388c24fa8c4ef12ff3533463c0e07cf58de21a6,4096,184,184320,565248,675840,671744,749568
091eec31fc3b8ff4115ca081b85ef60dd4841520919b7233b3e460048e1c6678,4096,256,292864,749568,749568,749568,749568
092452158ee4a65ed5c0dd812e33f1ac4315fc38e2dd169e5257f83a4aa86fdc,4096,208,-1,749568,735232,721920,709632
09314cfa22031f48ece5a840de15149ced13cc596468f91c5cbb49f9e216b8aa,4096,200,303104,626688,729088,765952,757760
095098b74d141ec454af529fc7c6a975eb1c7f021866d3ccd033bc4772db28c0,4096,128,139776,627712,627712,551936,700928
09511c2ef0f8b57719bfcf566113acc303565d4366f11f7d656af3fea9f084c9,4096,184,262144,765952,638976,700416,720896
0966b80173c2b60fdc9a7ab9dc1b617e37c719dfb33b301e2814210e7958cc8e,4096,256,151552,765952,765952,765952,745472
0976aa377c971dd078d1a54e036c5aabbc048d719f3a332fb157613406bd245b,4096,232,290304,383488,320000,475648,702464
098594492ed0b8b90afa9edbdd25b4255fbcb6561ccb90b68061a022d67ec400,4096,176,303104,659456,708608,724992,737280
0993e2108c913fe4fa562b8a503e63e752e74ce1a8f12c4735ff8c7aa7e939ab,4096,128,284160,749568,598528,177152,753664
09942c780f465d9a0eb3459b35eb6e18471812511591a2c51469bc9ac8be275e,-1,128,292864,749568,744448,749568,742912
09a246cdda60154a85eb91bdca7f3373666435f9be81d325b54c1a53a412f2df,4096,184,200704,512000,548864,724992,671744
09abfc0a5826c0440adbed0aaf07f05a5e23c2f7321acdb4f4cd2b43c17c06d7,4096,184,258048,372736,749568,716800,737280
09c525b23f96d1627ec1db089de5f4babc193c51f393632c5d9adca33cec6fc3,4096,184,200704,528384,548864,475136,765952
09cbf9dccd6cee6c6a302df749c0025510cc319d08a476da365c18ace4e8dafa,4096,128,292864,571904,438272,709632,650240
09d59329858f4db9b7cb88da7ff09a05d572e2a43f651bcd229f0df7998afb65,4096,248,303104,757760,761856,753664,675840
09d7c62ed7f2c69abe74b4df56f7f069c31d25b86eaf3a1c77b957d62842c3f1,4096,200,212992,634880,462848,749568,655360
09d93bc461e7f626ff7e4e4ff2c08fd3219a73950aeef16f72375f947a0dc24a,4096,248,193024,749056,670720,748032,750592
09ec9db80fec9fd27700c94ef621a1ed86764223ad607ef2e79f740ff3c6f794,4096,16,293838,728526,751566,683470,753102
09f016f1ce79059a14ac2e6dcb78eec82a23fe24a414857e4a47941c037e6c78,4096,248,292868,747012,750596,625668,750596
09f5ac7b7ef96871bc22c2a16be267774e0c25573f07f0d344f304fb7f0929bd,4096,216,292864,536064,747520,729600,737280
0a15aa2ebe8a0d5878a4f8c43da0494bfeb1097896751a8c2a432168dbdb2d5d,4096,232,115200,695296,717824,750080,676352
0a1af5d752fd10158790c99dc5a4730e252a9ab8bc0a2e4a51963a79a27b731a,4096,232,221184,761856,335872,724992,733184
0a1ee898d80d864ee43817e1ecf047a7494f090cd14a7a0578241c7510888d47,4096,248,289792,718848,324608,717824,656896
0a239bad89790d9198c4448a8c6e38700cd0175726d723bd62bddf83daef5ecc,4096,232,292864,692736,614912,750080,750080
0a2802bdab02c1e3ec51008b3d07eb5822293a97b7dc2517f43f881557de2333,4096,184,294912,729088,741376,565248,638976
0a3075cab39efe77f6ee4e174c9850cba97eb0ff1c98afae43a39728eba66437,4096,200,303104,438272,638976,741376,757760
0a356c30666673843f10d08e99c237115ca4ef1be983488c9a113948c72c0e06,4096,216,284160,655360,654336,734720,701440
0a37d4443469e1642f884db36e4063ca5031a541c0ca1493e17c18b7368527d5,4096,128,292864,749568,737280,723968,736256
0a43105ad7ae8a523bb5f29d665e61de410c2fc07f2e833363b6afa17d00b3b3,4096,200,303104,761856,765952,729088,765952
0a4a174f4e079a723593f496bfebe3a597427d769d0ee532bb37d6f639ab3dd2,4096,288,99840,749056,653824,646656,254976
0a5868efb20288e68ba2ffc8204431f28d731074788387ff73498d9d4321c5d2,4096,128,292288,260032,648640,452032,323008
0a59a1c562161a1473a652417a43902dbacf9bd609df66ec7893f4f0d8ff7c9c,4096,128,56256,745920,662976,729024,750016
0a59ec3c9443bbba1071a269e034b7a34948c8f5488e2d412438985d5731148c,4096,216,292864,749568,668160,741376,658944
0a6a948bd563624c3fe11f99e72ca1458787badd7bb6b08283a1cb8fd948e7e2,4096,128,292864,701440,571904,585728,719872
0a7ac25d6b44071626611bfbd4d0c52045555521b5604c50f30265874b107f60,-1,-1,-1,740864,-1,-1,625152
0a7c1b3aef1d0d404351af13a2d1e61f48afabc8840d3fea99cf2bd3e36beae4,4096,200,303104,638976,716800,741376,643072
0a96e33a4d1b3c09e2f61058aabdd91ca8a215e75576a9308f4da1fd38b3dfa6,4096,128,250304,690624,299456,21440,409536
0aabba0eb56cb2f1dc06e43fd2f739c4d27894396a6af3a1a124a37ff0a555b6,4096,200,290816,278528,715264,727552,585216
0ab0c1b67e2d3de427c81670a86b81a27ace98329027363a1234661a357d4756,4096,200,292864,749568,721408,749568,749568
0ab7cef9b9bb6d532ae9adacd24f7a7d22d54c817e62eaba79bed9b0823488e3,4096,224,292864,722944,693760,696832,731136
0abab5ab580c3768c46d85c73cf727d1ab61421818abb93683f3f31280074cd6,4096,240,292997,639109,644741,728709,727685
0ac5190d36101337a169f1f6e65d0d13913e6dae608c4ba16a77d33be7b9eaa5,4096,128,187392,722432,633344,688640,749568
0ad38c732a1c16087720ba3e2922a9cb36f25cb59283c8d09a33025f3400f98b,4096,184,82944,733696,622592,749568,334336
0af1c7743762bde8d8738740c8647dbb3b4f316ae25de10efeef0718c30e7b6e,4096,128,284160,738304,664064,705536,653824
0b05e547b1dfcefe2d5d4e4c252f6664c11e414e5738a67beb25d844fc1d30b0,4096,128,290752,747968,744384,750016,732096
0b0bd635bb73af71bc7e5d503b171517d28713c62855d3391c3c4ea3718bdb91,4096,224,24576,765952,675840,765952,675840
0b173b8e56ef90e5dc7cb9a5ac5d9aaa17998d3fcd139feb62636c1756e8c8c4,-1,-1,293888,698368,752640,678912,591360
