hash,FD,CS,gamma_5_x,gamma_10_x,gamma_20,gamma_30,gamma_50,gamma_10_sp,gamma_5_sp
de62306d93b4e51863558c2f63755d78373b8e82ce64f7a2f33aef5ab6de739c,-1,-1,292302,753102,753102,753102,717774,5997006,1115598
363d1455b21b3b703a86b5bf8d203766204078a69e8d8c72de873760409f7c7e,-1,-1,251392,751616,743424,748544,750080,5919232,1116160
f08e98de2bd1899371e7a699d964e1a7281ee9c7290d7337da33449141fce1a8,-1,-1,292864,622592,603648,749568,731136,4414976,1114624
fed0a4eed1957c546928019d36fa72dd55220f23de67bb0f5282ad2f39afab4d,-1,-1,292864,679936,700928,749568,746496,1485824,923136
9084ba4413ee896d70bc62ba0fe670f52361bb3202858b4f916b7832f17fb720,-1,-1,146944,714752,749568,736256,749568,3363328,1114624
b433126bc796a8b8323aeb8738e05c02b8764df7a421bec7613faea07b41674c,-1,-1,251683,752931,748323,745763,752931,6188323,1115427
1fcd82048618c26b126eec36c1759d890d9205c4b3a5260aa5746f4a80ed37a9,-1,-1,293308,462780,616892,679356,750012,5926844,1017788
754366ddee5f953fce504408dd2c94272955dec7c2c4aae4d158570fdc64d60d,176,-1,289280,731648,346112,495616,716288,6184960,1114624
c9d970ee2c06d0bb0c5f219fa9196cba871109504ea20e8ee7d48b2a709055b5,-1,-1,147392,746432,746432,658880,737216,6185408,1115072
d886b10cae01976a25efb55a09890d872459ba303506ef2f06f287b829a429a0,-1,-1,292864,556544,745472,719360,636416,5921280,1114624
425f50f0bb1fc71924a204448d8733d8e0e90703f52436d9c72a716943c7b18a,-1,-1,-1,-1,-1,-1,-1,-1,-1
890beff174d6bc93d1c1cc265b3b07a304df375f467aa50b2fde807c29f3afd5,-1,-1,-1,729600,-1,-1,732160,5951488,1041408
7a71d4f5ca33e98d189e760bdfc66962b789091506ba92eb97d947683715e4fd,-1,-1,299008,729088,610304,761856,716800,6168576,1060864
205d4cb65820a18562e10b789d07c0c28fb697ef1fda1a4dba5dbea9622e2625,-1,-1,292864,749568,718336,749568,731136,3335680,1114624
051087c5af027f8b04a6326dc187970c2c10de6cca149fcd848c2130bc6f4299,-1,-1,184320,655360,638976,765952,696320,5992448,1126400
ea75d85d23d824257d18e48a8a2b2f9f46ba1bb864b8a2db620182922319d061,-1,-1,262144,458752,765952,733184,765952,6205440,1007616
2191ca588d01cd1ef23e12c4d9ce99cbb2d24e13d36c7fcbd1b89b1fc6521a46,-1,-1,200704,765952,438272,753664,765952,6205440,1126400
cf6d932705722eae408020a00c72fdc1e5bc0b1ca12dd6d932fb4296df2e0e26,-1,-1,278528,765952,765952,761856,753664,4014080,1126400
36b41303d253b5661bb08b92261a24218ba1a626a020819a3d1d3dcf3c705ed3,-1,-1,292864,596992,741376,750592,750592,6133248,1114624
f66517d810b7fceea10fffd94af8262668d28083ef9ddc903a9dfcde9bf718cd,-1,-1,-1,750080,739840,750080,724992,1409536,1094144
2c341de1fb1d7339762bbcdff976aafb59c914876998ea47faceca0c62400d3d,-1,-1,293312,716224,750016,750016,744384,6006720,1115072
a9a9383bc73e2729fab3d39bf4e00248f0f94baa931f47b3ddcdbb6a99a3cfcf,-1,-1,303104,667648,757760,753664,765952,6205440,1126400
71c0c80f24ebd5dee0b1adcfc00c7c3af69153d5c746c037a47906001f5929f2,-1,-1,-1,721408,749568,742400,724480,6184960,904704
621e252db6e43f2f19af0a7fced686c83b3f02154f37c39333cd6840100b1951,-1,4096,-1,-1,-1,-1,-1,-1,-1
1b0e4379416eeb5f618fc6da7bf2c9507afd6afb31d489c6320ef30e578cb32a,-1,-1,299008,651264,753664,749568,761856,6107136,1126400
e2465b294f57e4c781b9d6361805fa805dc6261a126fdb3a24842a814b301e1f,-1,-1,-1,753664,753664,512000,765952,6205440,1126400
7305a537509a455669779de12104720d17edb3309f8f7d42db6a13ff08ca46d1,-1,-1,303104,749568,589824,733184,344064,6172672,1126400
3dbf025401a3155a903e38d937b7161689485ff5c7c59814c9ae2826b43d8b46,-1,-1,292864,724992,723968,733184,736256,6075904,1114624
89a7acd0b6f7a9834604a849cf38ebf80e61aff425f46166d3d519f9e06521a0,-1,-1,155648,618496,704512,737280,737280,6160384,1032192
dbd759d8c7538d134edd59f55b8fd91185635c11e1eda7bc0875d0e3bad41c93,-1,-1,293838,753102,729550,753102,734670,6188494,1063886
4560e0a89a1afe6ca5c72a89170c2d883ba017faca15c12699db9220fa6f3b43,-1,-1,-1,-1,-1,-1,732160,6184960,1114624
6a5a59f6bd013e65bcaf78ff84502eca18ce9b8612998d59b3f987f73975b4e2,-1,-1,-1,-1,-1,721408,710144,5997056,1067520
c1d1e0b4bdc48759a6878cc7e2d4e18e21782ce8f7e846c9794172d0d4c59678,-1,-1,294912,671744,675840,753664,757760,4108288,1105920
bc4f6d8907aac0daae5208b51ab357c36ef10bce3779e60afee5d0445133bb1c,-1,-1,290752,687552,724416,734144,746432,6157760,1043392
