,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
NGramConvFDRS,0.9718723761544921,0.9714525608732157,0.9718723761544921,0.9712426532325776,0.9714525608732157,0.9714525608732157
MalConvKDRS,0.9181360201511335,0.9198152812762385,0.9202350965575147,0.9191855583543241,0.920864819479429,0.9202350965575147
AvastStyleConvKDRS,0.9502518891687658,0.9510915197313182,0.9502518891687658,0.9502518891687658,0.9504617968094039,0.9500419815281276
BBDnnKDRS,0.9282115869017632,0.9282115869017632,0.9286314021830394,0.9284214945424013,0.9286314021830394,0.9280016792611251
NGramConvKDRS,0.9582283795130143,0.9575986565910999,0.9582283795130143,0.9580184718723762,0.957808564231738,0.9580184718723762
MalConvRDRS,0.9229638958858103,0.9210747271200672,0.9196053736356004,0.9219143576826196,0.9206549118387909,0.9214945424013434
AvastStyleConvRDRS,0.9422753988245172,0.9405961376994123,0.9414357682619647,0.9393366918555835,0.9422753988245172,0.9408060453400504
NGramConvRDRS,0.9408060453400504,0.9399664147774979,0.9403862300587741,0.9410159529806885,0.9393366918555835,0.9403862300587741
BBDnnRDRS,0.890848026868178,0.8895885810243492,0.8897984886649875,0.8914777497900923,0.8887489504617968,0.8912678421494542
MalConvSDRS,0.9217044500419815,0.9217044500419815,0.9217044500419815,0.9214945424013434,0.9214945424013434,0.9210747271200672
AvastStyleConvSDRS,0.9351385390428212,0.9351385390428212,0.9351385390428212,0.9351385390428212,0.9351385390428212,0.9351385390428212
BBDnnSDRS,0.892527287993283,0.892527287993283,0.892527287993283,0.892527287993283,0.892527287993283,0.892527287993283
NGramConvSDRS,0.9399664147774979,0.9397565071368598,0.9399664147774979,0.9399664147774979,0.9399664147774979,0.9397565071368598
