,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
NGramConvRsDel_CS,0.927581864,0.914777498,0.922753988,0.923173804,0.927581864,0.924643157
NGramConvRsDel_FD,0.922334173,0.921914358,0.922753988,0.92170445,0.922544081,0.923173804
NGramConvRsDel_gamma_05,0.442275399,0.476280437,0.450041982,0.452980688,0.426532326,0.454450042
NGramConvRsDel_gamma_10,0.341309824,0.355583543,0.349286314,0.342989085,0.347187238,0.346347607
NGramConvRsDel_gamma_20,0.339420655,0.416036944,0.355163728,0.339210747,0.340050378,0.345927792
NGramConvRsDel_gamma_30,0.33984047,0.421494542,0.334382872,0.340260285,0.336691856,0.353064652
NGramConvRsDel_gamma_50,0.33900084,0.397565071,0.336062133,0.339210747,0.33627204,0.34697733
NGramConvSDRS_CS,0.946053736,0.94038623,0.945004198,0.943324937,0.942905122,0.944584383
NGramConvSDRS_FD,0.939966415,0.939756507,0.939966415,0.939966415,0.939966415,0.939756507
NGramConvSDRS_gamma_05,0.483627204,0.54450042,0.526868178,0.50440806,0.4670445,0.536523929
NGramConvSDRS_gamma_10,0.100755668,0.184718724,0.127833753,0.098866499,0.092359362,0.106213266
NGramConvSDRS_gamma_20,0.101595298,0.333543241,0.188497061,0.094458438,0.091309824,0.109571788
NGramConvSDRS_gamma_30,0.102644836,0.327036104,0.108942065,0.094248531,0.091099916,0.113979849
NGramConvSDRS_gamma_50,0.097607053,0.308984047,0.114189757,0.091939547,0.086691856,0.109781696
ResNet18_CS,0.814231738,0.804575987,0.806884971,0.80604534,0.818010076,0.060033585
ResNet18_FD,0.956549118,0.956759026,0.956968934,0.957388749,0.957388749,0.058984047
ResNet18_gamma_05,0.204869857,0.273299748,0.20465995,0.19038623,0.180100756,0.041141898
ResNet18_gamma_20,0.095927792,0.233207389,0.113350126,0.092989085,0.089210747,0.025188917
ResNet18_gamma_30,0.09697733,0.251889169,0.095927792,0.097816961,0.09256927,0.024349286
ResNet18_gamma_50,0.100125945,0.256297229,0.098446683,0.096767422,0.088161209,0.026238455
ResNet18v_gamma_10,0.095507976,0.12720403,0.103904282,0.095298069,0.091729639,0.023299748
